"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.06.2026","1.989,44","1.915,50","1.999,96","1.913,88","2,71M","5,65%"
"29.06.2026","1.883,11","1.798,95","1.886,12","1.772,52","1,76M","4,93%"
"26.06.2026","1.794,62","1.781,66","1.809,00","1.767,64","2,84M","-2,53%"
"25.06.2026","1.841,18","1.855,50","1.855,91","1.777,04","2,20M","4,45%"
"24.06.2026","1.762,77","1.750,42","1.779,65","1.730,29","2,03M","-0,88%"
"23.06.2026","1.778,46","1.777,70","1.812,95","1.755,97","2,42M","-7,82%"
"22.06.2026","1.929,25","1.953,52","1.959,04","1.886,44","1,79M","-0,02%"
"18.06.2026","1.929,68","1.924,18","1.942,87","1.909,53","2,41M","3,31%"
"17.06.2026","1.867,83","1.897,20","1.938,49","1.865,32","2,32M","3,54%"
"16.06.2026","1.803,89","1.872,01","1.881,16","1.802,61","1,80M","-4,69%"
"15.06.2026","1.892,66","1.894,54","1.913,70","1.865,00","2,34M","1,56%"
"12.06.2026","1.863,55","1.847,61","1.892,80","1.839,00","2,53M","-1,89%"
"11.06.2026","1.899,48","1.780,00","1.903,50","1.775,10","2,97M","9,53%"
"10.06.2026","1.734,19","1.746,46","1.812,00","1.723,21","2,59M","-2,45%"
"09.06.2026","1.777,77","1.776,62","1.831,11","1.676,28","3,15M","1,64%"
"08.06.2026","1.749,04","1.732,79","1.769,49","1.719,02","2,06M","6,54%"
"05.06.2026","1.641,74","1.685,36","1.705,48","1.638,38","2,74M","-6,59%"
"04.06.2026","1.757,47","1.679,80","1.779,29","1.672,43","2,25M","1,80%"
"03.06.2026","1.726,36","1.709,31","1.743,27","1.690,00","1,83M","1,23%"
"02.06.2026","1.705,37","1.659,69","1.708,32","1.647,59","1,48M","4,72%"
"01.06.2026","1.628,57","1.594,47","1.646,53","1.585,61","1,06M","0,98%"
"29.05.2026","1.612,76","1.633,47","1.654,20","1.604,86","1,07M","0,44%"
"28.05.2026","1.605,77","1.617,09","1.627,53","1.580,00","972,55K","0,49%"
"27.05.2026","1.597,87","1.637,35","1.639,13","1.583,00","1,36M","-2,09%"
"26.05.2026","1.632,03","1.641,85","1.648,01","1.604,25","1,65M","-0,05%"
"22.05.2026","1.632,90","1.620,03","1.653,53","1.615,85","1,67M","2,57%"
"21.05.2026","1.592,00","1.548,68","1.601,79","1.545,94","1,36M","2,70%"
"20.05.2026","1.550,13","1.502,38","1.555,80","1.492,32","1,74M","6,21%"
"19.05.2026","1.459,44","1.449,93","1.485,76","1.441,31","1,40M","-0,88%"
"18.05.2026","1.472,39","1.521,24","1.522,48","1.453,34","1,66M","-1,96%"
"15.05.2026","1.501,81","1.511,74","1.527,25","1.486,64","1,81M","-5,22%"
"14.05.2026","1.584,51","1.573,74","1.603,49","1.563,28","1,41M","0,19%"
"13.05.2026","1.581,58","1.539,39","1.602,60","1.521,08","1,69M","3,99%"
